Lat,Lon,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
60N,146W,1946,129,11,33,-7,-3,-5,-5,0,-14,37,17,49
60N,146W,1947,128,-46,23,-7,-4,-7,1,1,4,-23,58,83
60N,146W,1948,129,5,17,5,-2,0,5,2,6,6,21,86
60N,146W,1949,153,-12,30,-3,2,0,-3,-3,-4,17,13,50
60N,146W,1950,133,-309,-2,-30,-7,-6,-6,-7,-3,2,-94,17
60N,146W,1951,-5,72,-35,5,0,1,-3,-1,-8,-12,16,93
60N,146W,1952,-88,5,26,-5,0,-4,2,-4,-6,4,25,-53
60N,146W,1953,-166,34,5,-9,2,-5,-5,2,1,-37,-24,38
60N,146W,1954,-29,12,41,-16,-5,-8,-4,3,7,-13,33,21
60N,146W,1955,104,54,31,8,-7,4,0,1,3,14,-82,-54
60N,146W,1956,-138,46,-15,1,-1,-3,-1,-3,9,16,61,-118
60N,146W,1957,142,36,0,0,-11,-5,-1,-2,-6,-2,35,61
60N,146W,1958,42,-190,26,6,3,4,-1,-13,8,-13,38,-73
60N,146W,1959,-290,74,-15,3,-1,-6,3,-1,2,-9,-5,73
60N,146W,1960,105,36,-98,-8,-1,-6,-5,-1,5,-8,9,48
60N,146W,1961,38,-21,-52,7,-2,-11,2,0,16,24,20,-72
60N,146W,1962,40,76,19,-25,3,1,-3,5,3,11,-45,-23
60N,146W,1963,138,-73,43,10,0,19,13,19,-32,-24,-108,-21
60N,146W,1964,27,82,-12,12,1,-1,0,-5,6,16,-11,-89
60N,146W,1965,-96,-28,38,9,13,8,-3,5,30,-27,-10,51
60N,146W,1966,-235,83,-64,9,18,9,10,0,-10,26,37,-96
60N,146W,1967,-5,23,18,17,2,14,4,5,-31,6,78,62
60N,146W,1968,42,-50,6,11,2,-5,-5,-5,-5,4,7,-48
60N,146W,1969,-49,-23,27,-18,-1,3,4,-4,-8,-40,-20,-65
60N,146W,1970,-71,6,21,14,1,2,1,1,2,6,-15,-46
60N,146W,1971,-233,39,-51,-7,0,0,6,-4,6,30,13,79
60N,146W,1972,57,-199,-34,0,3,8,-1,-2,8,25,34,13
60N,146W,1973,47,-10,37,4,-14,1,9,8,3,6,-19,-39
60N,146W,1974,-22,-93,-31,-6,2,3,10,-1,-11,-9,34,68
60N,146W,1975,71,-14,22,9,-2,4,-2,-3,7,-6,-34,-2
60N,146W,1976,67,-1,35,-14,-2,2,-3,-5,-24,12,-29,-17
60N,146W,1977,48,-17,38,1,5,-3,-5,-4,15,-33,2,-48
60N,146W,1978,-4,-88,-10,8,-1,28,4,-3,2,14,49,97
60N,146W,1979,59,-344,6,12,-1,2,-5,0,-20,-16,57,62
60N,146W,1980,24,-24,16,-45,-3,5,0,2,-5,-22,9,-100
60N,146W,1981,24,52,-25,-6,-3,-3,5,-11,-11,20,3,14
60N,146W,1982,-109,-77,13,-12,1,-4,1,-2,2,8,15,-64
60N,146W,1983,-139,-71,-82,10,-7,-7,-3,-2,7,8,-38,1
60N,146W,1984,101,-21,-16,-1,1,-5,-5,-3,-25,-19,17,72
