year,taxa,region_combined,revenue
1985.0,Groundfish,Alaska Peninsula,14.368836047242993
1985.0,Groundfish,Kodiak,27.386192868124958
1985.0,Groundfish,PWS/Cook Inlet,18.645432385212104
1985.0,Groundfish,Southeast,26.587808582011323
1985.0,Groundfish,NA,29.276275892794747
1985.0,Herring,Alaska Peninsula,0.9380668110979103
1985.0,Herring,Bristol Bay,21.566102715074432
1985.0,Herring,Kodiak,3.2216082360751974
1985.0,Herring,PWS/Cook Inlet,12.097922915647496
1985.0,Herring,Southeast,20.37820999021595
1985.0,Herring,NA,8.762636959256412
1985.0,Invertebrate,Alaska Peninsula,7.7142761024530015
1985.0,Invertebrate,Kodiak,42.41850545111468
1985.0,Invertebrate,PWS/Cook Inlet,15.62839393039346
1985.0,Invertebrate,Southeast,12.025797767139563
1985.0,Invertebrate,NA,105.68122531274024
1985.0,Salmon,Alaska Peninsula,84.18050959186526
1985.0,Salmon,Bristol Bay,207.41095677545601
1985.0,Salmon,Kodiak,34.80455942064435
1985.0,Salmon,PWS/Cook Inlet,149.205517523936
1985.0,Salmon,Southeast,169.66721413096656
1985.0,Salmon,NA,24.98863853169334
1986.0,Groundfish,Alaska Peninsula,21.735774990152933
1986.0,Groundfish,Bristol Bay,1.0002911307862245e-4
1986.0,Groundfish,Kodiak,44.80761308718512
1986.0,Groundfish,PWS/Cook Inlet,49.17570823557619
1986.0,Groundfish,Southeast,51.93662629082254
1986.0,Groundfish,NA,36.30688601373453
1986.0,Herring,Alaska Peninsula,1.3856686589145961
1986.0,Herring,Bristol Bay,15.159642422893157
1986.0,Herring,Kodiak,2.8224253592040145
1986.0,Herring,PWS/Cook Inlet,21.55897235970065
1986.0,Herring,Southeast,18.183364136112207
1986.0,Herring,NA,10.977696693096776
1986.0,Invertebrate,Alaska Peninsula,11.918453479012896
1986.0,Invertebrate,Kodiak,32.603315226140126
1986.0,Invertebrate,PWS/Cook Inlet,7.614219718116898
1986.0,Invertebrate,Southeast,15.834391040021922
1986.0,Invertebrate,NA,243.2026743787783
1986.0,Salmon,Alaska Peninsula,103.92284792697755
1986.0,Salmon,Bristol Bay,240.66072539516725
1986.0,Salmon,Kodiak,64.13078903293203
1986.0,Salmon,PWS/Cook Inlet,135.78967547480008
1986.0,Salmon,Southeast,170.17729460723032
1986.0,Salmon,NA,22.117669378178896
1987.0,Groundfish,Alaska Peninsula,26.26290439052088
1987.0,Groundfish,Bristol Bay,0.04375909751331852
1987.0,Groundfish,Kodiak,88.1659390437382
1987.0,Groundfish,PWS/Cook Inlet,48.1355235558376
1987.0,Groundfish,Southeast,72.93528592661868
1987.0,Groundfish,NA,112.2930603049483
1987.0,Herring,Alaska Peninsula,1.1803481020057116
1987.0,Herring,Bristol Bay,18.3334999081481
1987.0,Herring,Kodiak,4.73986430969121
1987.0,Herring,PWS/Cook Inlet,27.13627179812622
1987.0,Herring,Southeast,12.510302944270945
1987.0,Herring,NA,8.967076738088478
1987.0,Invertebrate,Alaska Peninsula,9.395067519497653
1987.0,Invertebrate,Kodiak,24.738977955543678
1987.0,Invertebrate,PWS/Cook Inlet,16.905476594465505
1987.0,Invertebrate,Southeast,23.048258053741712
1987.0,Invertebrate,NA,284.9982534110456
1987.0,Salmon,Alaska Peninsula,111.41277523004726
1987.0,Salmon,Bristol Bay,231.79579563786967
1987.0,Salmon,Kodiak,48.14412481838374
1987.0,Salmon,PWS/Cook Inlet,299.1940006680138
1987.0,Salmon,Southeast,122.55646261627615
1987.0,Salmon,NA,25.617988977771837
1988.0,Groundfish,Alaska Peninsula,38.87765508116307
1988.0,Groundfish,Bristol Bay,1.1767229160615744
1988.0,Groundfish,Kodiak,100.1590594281473
1988.0,Groundfish,PWS/Cook Inlet,48.95206743150354
1988.0,Groundfish,Southeast,77.26713289443961
1988.0,Groundfish,NA,204.47275502630134
1988.0,Herring,Alaska Peninsula,1.0517039403620874
1988.0,Herring,Bristol Bay,22.719572820860364
1988.0,Herring,Kodiak,4.7387502662406815
1988.0,Herring,PWS/Cook Inlet,34.13843823216188
1988.0,Herring,Southeast,13.390678591022043
1988.0,Herring,NA,12.25450390486333
1988.0,Invertebrate,Alaska Peninsula,12.698950075838257
1988.0,Invertebrate,Kodiak,20.09997142350018
1988.0,Invertebrate,PWS/Cook Inlet,11.624810452770518
1988.0,Invertebrate,Southeast,24.689286555652373
1988.0,Invertebrate,NA,315.2783105011779
1988.0,Salmon,Alaska Peninsula,177.4301550650273
1988.0,Salmon,Bristol Bay,311.31153974247263
1988.0,Salmon,Kodiak,164.08732144124957
1988.0,Salmon,PWS/Cook Inlet,335.6700388227321
1988.0,Salmon,Southeast,204.69887564139802
1988.0,Salmon,NA,49.46001361861426
1989.0,Groundfish,Alaska Peninsula,36.33393599739082
1989.0,Groundfish,Bristol Bay,4.727588991737591e-5
1989.0,Groundfish,Kodiak,91.6528089240231
1989.0,Groundfish,PWS/Cook Inlet,43.33627169658943
1989.0,Groundfish,Southeast,75.64386558054295
1989.0,Groundfish,NA,309.46265288563086
1989.0,Herring,Alaska Peninsula,0.68723547866062
1989.0,Herring,Bristol Bay,8.646514863017954
1989.0,Herring,Kodiak,3.20898850717525
1989.0,Herring,PWS/Cook Inlet,5.061830449773249
1989.0,Herring,Southeast,5.455808644467914
1989.0,Herring,NA,6.844712741504628
1989.0,Invertebrate,Alaska Peninsula,5.9591909983226685
1989.0,Invertebrate,Kodiak,31.103715583649127
1989.0,Invertebrate,PWS/Cook Inlet,2.3294328756911225
1989.0,Invertebrate,Southeast,23.553395756973348
1989.0,Invertebrate,NA,359.44031978008326
1989.0,Salmon,Alaska Peninsula,106.27057041684786
1989.0,Salmon,Bristol Bay,324.7714418835808
1989.0,Salmon,Kodiak,20.40439456109834
1989.0,Salmon,PWS/Cook Inlet,166.57978750698888
1989.0,Salmon,Southeast,219.4033060042244
1989.0,Salmon,NA,25.727520360936822
1990.0,Groundfish,Alaska Peninsula,39.04681398448498
1990.0,Groundfish,Bristol Bay,1.1932992931380477
1990.0,Groundfish,Kodiak,109.9483590768862
1990.0,Groundfish,PWS/Cook Inlet,50.5267942612394
1990.0,Groundfish,Southeast,73.45755589001708
1990.0,Groundfish,NA,479.46134139036155
1990.0,Herring,Alaska Peninsula,0.36974295384431066
1990.0,Herring,Bristol Bay,12.586221747985743
1990.0,Herring,Kodiak,3.153431245694432
1990.0,Herring,PWS/Cook Inlet,15.784141102824453
1990.0,Herring,Southeast,5.1652134213915595
1990.0,Herring,NA,5.814629107137509
1990.0,Invertebrate,Alaska Peninsula,0.4141737203103004
1990.0,Invertebrate,Kodiak,22.938800341450268
1990.0,Invertebrate,PWS/Cook Inlet,3.6133503010153656
1990.0,Invertebrate,Southeast,26.998436142810075
1990.0,Invertebrate,NA,483.48158163356993
1990.0,Salmon,Alaska Peninsula,114.92787734747057
1990.0,Salmon,Bristol Bay,319.83052755563546
1990.0,Salmon,Kodiak,77.21649445892113
1990.0,Salmon,PWS/Cook Inlet,157.04530682601015
1990.0,Salmon,Southeast,147.3308083535508
1990.0,Salmon,NA,20.22336481265163
1991.0,Groundfish,Alaska Peninsula,54.645671430434966
1991.0,Groundfish,Bristol Bay,20.949209499514442
1991.0,Groundfish,Kodiak,94.62570636151493
1991.0,Groundfish,PWS/Cook Inlet,49.30457827605699
1991.0,Groundfish,Southeast,78.47817416259619
1991.0,Groundfish,NA,619.8785292710854
1991.0,Herring,Alaska Peninsula,0.7729729972605915
1991.0,Herring,Bristol Bay,12.242083878074586
1991.0,Herring,Kodiak,3.202007087675561
1991.0,Herring,PWS/Cook Inlet,19.92323471946429
1991.0,Herring,Southeast,2.947378226776629
1991.0,Herring,NA,5.2118951922658825
1991.0,Invertebrate,Alaska Peninsula,0.27721218094589306
1991.0,Invertebrate,Kodiak,10.304799878248517
1991.0,Invertebrate,PWS/Cook Inlet,2.0101462032380093
1991.0,Invertebrate,Southeast,28.695502485759423
1991.0,Invertebrate,NA,444.9951947154059
1991.0,Salmon,Alaska Peninsula,65.32918458394329
1991.0,Salmon,Bristol Bay,166.8768741901352
1991.0,Salmon,Kodiak,52.43772330526285
1991.0,Salmon,PWS/Cook Inlet,69.391548388967
1991.0,Salmon,Southeast,110.09714875422144
1991.0,Salmon,NA,21.9414913831838
1992.0,Groundfish,Alaska Peninsula,43.66993165070007
1992.0,Groundfish,Bristol Bay,6.009131710220508
1992.0,Groundfish,Kodiak,84.6658003939686
1992.0,Groundfish,PWS/Cook Inlet,37.83276626891899
1992.0,Groundfish,Southeast,58.65498531829261
1992.0,Groundfish,NA,611.9079733433477
1992.0,Herring,Alaska Peninsula,1.7651466611870072
1992.0,Herring,Bristol Bay,12.501922269145739
1992.0,Herring,Kodiak,3.229919519868488
1992.0,Herring,PWS/Cook Inlet,18.737545037129415
1992.0,Herring,Southeast,6.257951788447366
1992.0,Herring,NA,1.9855134629556146
1992.0,Invertebrate,Alaska Peninsula,0.11179882092851878
1992.0,Invertebrate,Bristol Bay,0.15345894507114108
1992.0,Invertebrate,Kodiak,12.080034861969276
1992.0,Invertebrate,PWS/Cook Inlet,3.419533969162746
1992.0,Invertebrate,Southeast,23.22446836914007
1992.0,Invertebrate,NA,414.7142270137747
1992.0,Salmon,Alaska Peninsula,120.20911104812652
1992.0,Salmon,Bristol Bay,294.8420197976305
1992.0,Salmon,Kodiak,56.57538000963664
1992.0,Salmon,PWS/Cook Inlet,190.17261291876878
1992.0,Salmon,Southeast,153.3181795107987
1992.0,Salmon,NA,26.229500921149594
1993.0,Groundfish,Alaska Peninsula,26.592784508056035
1993.0,Groundfish,Bristol Bay,0.18617968274181942
1993.0,Groundfish,Kodiak,69.27476020153924
1993.0,Groundfish,PWS/Cook Inlet,33.64210940700958
1993.0,Groundfish,Southeast,61.75919877083218
