# Stopha 2015. http://www.adfg.alaska.gov/FedAidPDFs/RIR.5J.2016.03.pdf,,
Year,FryReleasesMillions,TotalReturnsThousands
1966,1,0
1967,1,0
1968,1,0
1969,1,0
1970,1,0
1971,1,0
1972,2,0
1973,2,0
1974,3,0
1975,11,6
1976,13,8
1977,41,187
1978,75,218
1979,87,1621
1980,96,3061
1981,217,4911
1982,365,6939
1983,419,6560
1984,512,8258
1985,659,16651
1986,763,12674
1987,814,25363
1988,1115,18432
1989,1087,35441
1990,1154,48897
1991,1319,48567
1992,1324,23237
1993,1465,33478
1994,1299,55676
1995,1503,37291
1996,1638,50012
1997,1477,51260
1998,1451,56043
1999,1434,72290
2000,1470,63107
2001,1478,61729
2002,1484,49325
2003,1521,79888
2004,1648,46467
2005,1427,80978
2006,1433,46502
2007,1560,80263
2008,1487,60441
2009,1463,45005
2010,1561,90817
2011,1539,47836
2012,1674,47251
2013,1551,111385
2014,1765,62032
2015,1742,96000
